,symbol,gics_sector,currency,scores,weight,exec_price,exec_shares,investment,fees,fx_rate
0,ABBV,Health Care,USD,"{'total_score': 0.5546749999999999, 'momentum_score': 0.49549999999999994, 'fey_score': 0.77, 'trend_score': 0.47, 'risk_score': 0.38999999999999996, 'liquidity_score': 0.7250000000000001}",0.017716816802189225,231.9358,4.0,927.7432,0.9277,1.0
1,ADM,Consumer Staples,USD,"{'total_score': 0.754575, 'momentum_score': 0.8394999999999999, 'fey_score': 0.72, 'trend_score': 0.85, 'risk_score': 0.6366666666666667, 'liquidity_score': 0.305}",0.024101802025531954,67.99,54.0,3671.46,3.6715,1.0
2,AEE,Utilities,USD,"{'total_score': 0.5675, 'momentum_score': 0.675, 'fey_score': 0.47, 'trend_score': 0.55, 'risk_score': 0.6533333333333333, 'liquidity_score': 0.11499999999999999}",0.018126458800635303,111.2344,-5.0,-556.172,0.5562,1.0
3,AEP,Utilities,USD,"{'total_score': 0.663025, 'momentum_score': 0.8564999999999999, 'fey_score': 0.45, 'trend_score': 0.71, 'risk_score': 0.58, 'liquidity_score': 0.435}",0.021177612945006558,131.92,-20.0,-2638.4,2.6384,1.0
4,AES,Utilities,USD,"{'total_score': 0.750325, 'momentum_score': 0.6995, 'fey_score': 1.0, 'trend_score': 0.88, 'risk_score': 0.36333333333333334, 'liquidity_score': 0.5}",0.023966053215130723,14.18,2753.0,39037.54,39.0375,1.0
5,AMGN,Health Care,USD,"{'total_score': 0.6439750000000001, 'momentum_score': 0.5735, 'fey_score': 0.7, 'trend_score': 0.92, 'risk_score': 0.3866666666666667, 'liquidity_score': 0.525}",0.020569138865443384,377.0,12.0,4524.0,4.524,1.0
6,ATO,,USD,,0.0,186.0,-195.0,-36270.0,36.27,1.0
7,AZN.L,,GBp,,0.0,14932.0,-117.0,-23428.2419,23.4282,74.57000000000001
8,BATS.L,Consumer Staples,GBp,"{'total_score': 0.5504999999999999, 'momentum_score': 0.7549999999999999, 'fey_score': 0.085, 'trend_score': 0.75, 'risk_score': 0.5166666666666667, 'liquidity_score': 0.75}",0.017583463559030364,4463.3696,8.0,478.8381,0.4788,74.57000000000001
9,BAYN.DE,,EUR,,0.0,38.31,-429.0,-19224.459,19.2245,0.8549
10,BIIB,,USD,,0.0,184.02,-153.0,-28155.06,28.1551,1.0
11,BMY,Health Care,USD,"{'total_score': 0.6312500000000001, 'momentum_score': 0.3, 'fey_score': 0.96, 'trend_score': 0.93, 'risk_score': 0.41, 'liquidity_score': 0.775}",0.02016269095665381,60.5952,92.0,5574.7584,5.5748,1.0
