,symbol,gics_sector,currency,scores,weight,exec_price,exec_shares,investment,fees,fx_rate
0,ABBV,Health Care,USD,"{'total_score': 0.7983128688368551, 'momentum_score': 0.8712640395964211, 'fey_score': 0.8252427184466019, 'trend_score': 0.8155339805825242, 'risk_score': 0.5820166254203948, 'liquidity_score': 0.7330097087378641}",0.016645436939473925,144.2635,-28.0,-4039.378,4.0394,1.0
1,ADM,Consumer Staples,USD,"{'total_score': 0.7651537216828478, 'momentum_score': 0.8645821435370264, 'fey_score': 0.7961165048543689, 'trend_score': 0.9223300970873787, 'risk_score': 0.40243670283647437, 'liquidity_score': 0.3737864077669903}",0.02864680655141122,82.6414,63.0,5206.4082,5.2064,1.0
2,AEP,Utilities,USD,"{'total_score': 0.5382457643251476, 'momentum_score': 0.6197982105463544, 'fey_score': 0.6504854368932039, 'trend_score': 0.3883495145631068, 'risk_score': 0.37350085665334093, 'liquidity_score': 0.5}",0.020151535372300102,84.1971,-11.0,-926.1681,0.9262,1.0
3,AES,,USD,,0.0,24.8279,-994.0,-24678.9326,24.6789,1.0
4,AMGN,Health Care,USD,"{'total_score': 0.7453964401294497, 'momentum_score': 0.7039881972206358, 'fey_score': 0.7572815533980582, 'trend_score': 0.9514563106796117, 'risk_score': 0.5823339044355605, 'liquidity_score': 0.6407766990291262}",0.015542088726642736,257.6234,-11.0,-2833.8574,2.8339,1.0
5,AZN.L,Health Care,GBp,"{'total_score': 0.5887397677517608, 'momentum_score': 0.8315248429468874, 'fey_score': 0.0970873786407767, 'trend_score': 0.7864077669902912, 'risk_score': 0.5623770543816232, 'liquidity_score': 0.6359223300970873}",0.01227567669321284,11169.7646,-9.0,-1232.4124,1.2324,81.57
6,BATS.L,Consumer Staples,GBp,"{'total_score': 0.5582324386065105, 'momentum_score': 0.8980963259090043, 'fey_score': 0.0970873786407767, 'trend_score': 0.46601941747572817, 'risk_score': 0.6146646360809696, 'liquidity_score': 0.6844660194174758}",0.02089982212242532,3398.7034,-98.0,-4083.2773,4.0833,81.57
7,BDX,,USD,,0.0,186.2453,-75.0,-13968.3975,13.9684,1.0
8,BIIB,Health Care,USD,"{'total_score': 0.6213187702265373, 'momentum_score': 0.6037978298115363, 'fey_score': 0.47572815533980584, 'trend_score': 0.9805825242718447, 'risk_score': 0.5229075448949807, 'liquidity_score': 0.33009708737864074}",0.012954973936704577,298.9,-1.0,-298.9,0.2989,1.0
9,BMY,Health Care,USD,"{'total_score': 0.8454216638111556, 'momentum_score': 0.8531315438796877, 'fey_score': 0.941747572815534, 'trend_score': 0.8446601941747572, 'risk_score': 0.6794847388793706, 'liquidity_score': 0.8106796116504855}",0.017627691524924653,69.4903,-12.0,-833.8836,0.8339,1.0
10,BSX,Health Care,USD,"{'total_score': 0.5444288977727013, 'momentum_score': 0.5981534361317342, 'fey_score': 0.32038834951456313, 'trend_score': 0.6407766990291263, 'risk_score': 0.6594009772193666, 'liquidity_score': 0.558252427184466}",0.011351760994541576,46.6,275.0,12815.0,12.815,1.0
11,CAG,Consumer Staples,USD,"{'total_score': 0.7240395964210926, 'momentum_score': 0.7570531125071387, 'fey_score': 0.8349514563106796, 'trend_score': 0.7378640776699029, 'risk_score': 0.5815089789961292, 'liquidity_score': 0.3106796116504854}",0.02710752318974422,32.0243,23.0,736.5589,0.7366,1.0
12,CAH,Health Care,USD,"{'total_score': 0.7916699980963258, 'momentum_score': 0.7726156482010279, 'fey_score': 0.8446601941747572, 'trend_score': 0.9902912621359223, 'risk_score': 0.5882987499206802, 'liquidity_score': 0.47572815533980584}",0.01650692797848265,75.9762,-48.0,-3646.8576,3.6469,1.0
13,CI,Health Care,USD,"{'total_score': 0.8536912240624404, 'momentum_score': 0.8988958690272224, 'fey_score': 0.8543689320388349, 'trend_score': 0.941747572815534, 'risk_score': 0.744336569579288, 'liquidity_score': 0.5097087378640777}",0.01780011821257219,307.0136,-6.0,-1842.0816,1.8421,1.0
14,CNA.L,Utilities,GBp,"{'total_score': 0.5555620597753665, 'momentum_score': 0.7011326860841424, 'fey_score': 0.0970873786407767, 'trend_score': 0.912621359223301, 'risk_score': 0.37035979440319816, 'liquidity_score': 0.9563106796116505}",0.020799845054253294,94.9006,20250.0,23559.3619,23.5594,81.57
15,CNC,Health Care,USD,"{'total_score': 0.5621030839520273, 'momentum_score': 0.5804587854559299, 'fey_score': 0.7669902912621359, 'trend_score': 0.44660194174757284, 'risk_score': 0.3346976330985469, 'liquidity_score': 0.5533980582524272}",0.01172028136166673,85.79,-29.0,-2487.91,2.4879,1.0
16,CNP,,USD,,0.0,28.1721,-785.0,-22115.0985,22.1151,1.0
17,CPB,Consumer Staples,USD,"{'total_score': 0.7460517799352752, 'momentum_score': 0.8577193984389871, 'fey_score': 0.6990291262135923, 'trend_score': 0.7961165048543689, 'risk_score': 0.6729805190684687, 'liquidity_score': 0.2184466019417476}",0.027931643552797644,47.0483,18.0,846.8694,0.8469,1.0
18,CVS,Health Care,USD,"{'total_score': 0.6575480677707977, 'momentum_score': 0.5786217399581192, 'fey_score': 0.9223300970873787, 'trend_score': 0.5922330097087378, 'risk_score': 0.46557522685449587, 'liquidity_score': 0.7233009708737864}",0.01371038263819911,90.7231,-30.0,-2721.693,2.7217,1.0
19,DGE.L,,GBp,,0.0,3842.8396,-466.0,-21953.6993,21.9537,81.57
