,symbol,gics_sector,currency,scores,weight,exec_price,exec_shares,investment,fees,fx_rate
0,ABBV,Health Care,USD,"{'total_score': 0.5889627659574468, 'momentum_score': 0.4335106382978723, 'fey_score': 0.6914893617021277, 'trend_score': 0.8191489361702128, 'risk_score': 0.4290780141843972, 'liquidity_score': 0.7234042553191489}",0.01794008360427311,199.3627,4.0,797.4508,0.7975,1.0
1,ABT,Health Care,USD,"{'total_score': 0.6131382978723404, 'momentum_score': 0.6606382978723404, 'fey_score': 0.32978723404255317, 'trend_score': 0.8936170212765957, 'risk_score': 0.5815602836879433, 'liquidity_score': 0.6702127659574468}",0.018676481707514667,134.2041,6.0,805.2246,0.8052,1.0
2,AEE,Utilities,USD,"{'total_score': 0.7236968085106382, 'momentum_score': 0.8579787234042553, 'fey_score': 0.48936170212765956, 'trend_score': 0.8829787234042553, 'risk_score': 0.7588652482269503, 'liquidity_score': 0.2127659574468085}",0.025394326182511924,96.4951,66.0,6368.6766,6.3687,1.0
3,AEP,Utilities,USD,"{'total_score': 0.6846010638297872, 'momentum_score': 0.751595744680851, 'fey_score': 0.6276595744680851, 'trend_score': 0.776595744680851, 'risk_score': 0.5992907801418439, 'liquidity_score': 0.38829787234042556}",0.024022467026718588,101.8419,28.0,2851.5732,2.8516,1.0
4,AMGN,Health Care,USD,"{'total_score': 0.5411968085106383, 'momentum_score': 0.4984042553191489, 'fey_score': 0.723404255319149, 'trend_score': 0.48936170212765956, 'risk_score': 0.4042553191489362, 'liquidity_score': 0.5478723404255319}",0.01648511001415008,302.6938,74.0,22399.3412,22.3993,1.0
5,BATS.L,Consumer Staples,GBp,"{'total_score': 0.6074202127659575, 'momentum_score': 0.8335106382978723, 'fey_score': 0.09574468085106383, 'trend_score': 0.8297872340425532, 'risk_score': 0.5780141843971632, 'liquidity_score': 0.7819148936170213}",0.021314211740927933,3153.4795,19.0,761.0328,0.761,78.73
6,BDX,Health Care,USD,"{'total_score': 0.5525531914893618, 'momentum_score': 0.44042553191489364, 'fey_score': 0.8829787234042553, 'trend_score': 0.32978723404255317, 'risk_score': 0.599290780141844, 'liquidity_score': 0.43617021276595747}",0.016831030795320757,171.4841,0.0,0.0,0.0,1.0
7,BMY,Health Care,USD,"{'total_score': 0.7473138297872339, 'momentum_score': 0.7218085106382979, 'fey_score': 0.9574468085106383, 'trend_score': 0.7021276595744681, 'risk_score': 0.5106382978723404, 'liquidity_score': 0.7659574468085106}",0.022763531686451573,56.0042,-14.0,-784.0588,0.7841,1.0
8,BSX,Health Care,USD,"{'total_score': 0.7167553191489361, 'momentum_score': 0.9734042553191489, 'fey_score': 0.22340425531914893, 'trend_score': 0.9574468085106383, 'risk_score': 0.624113475177305, 'liquidity_score': 0.7021276595744681}",0.021832705041100034,103.61,8.0,828.88,0.8289,1.0
9,CAH,Health Care,USD,"{'total_score': 0.717845744680851, 'momentum_score': 0.751595744680851, 'fey_score': 0.7127659574468085, 'trend_score': 0.851063829787234, 'risk_score': 0.6028368794326241, 'liquidity_score': 0.3191489361702128}",0.021865919917043824,124.4422,4.0,497.7688,0.4978,1.0
10,CL,,USD,,0.0,88.3212,-238.0,-21020.4456,21.0204,1.0
11,CLX,,USD,,0.0,143.0283,-172.0,-24600.8676,24.6009,1.0
12,CMS,Utilities,USD,"{'total_score': 0.6633510638297873, 'momentum_score': 0.8329787234042554, 'fey_score': 0.5106382978723404, 'trend_score': 0.6808510638297872, 'risk_score': 0.6560283687943262, 'liquidity_score': 0.19148936170212766}",0.02327681024748126,70.7299,28.0,1980.4372,1.9804,1.0
13,CNA.L,Utilities,GBp,"{'total_score': 0.49896276595744676, 'momentum_score': 0.5973404255319148, 'fey_score': 0.09574468085106383, 'trend_score': 0.7127659574468085, 'risk_score': 0.5070921985815603, 'liquidity_score': 0.946808510638298}",0.0175084691305026,147.1812,678.0,1267.4819,1.2675,78.73
14,CNP,Utilities,USD,"{'total_score': 0.6313829787234042, 'momentum_score': 0.6808510638297872, 'fey_score': 0.5212765957446809, 'trend_score': 0.8085106382978723, 'risk_score': 0.5744680851063829, 'liquidity_score': 0.2978723404255319}",0.02215505874730194,32.9294,85.0,2798.999,2.799,1.0
15,COST,Consumer Staples,USD,"{'total_score': 0.5968617021276595, 'momentum_score': 0.7478723404255319, 'fey_score': 0.20212765957446807, 'trend_score': 0.9148936170212766, 'risk_score': 0.5035460992907801, 'liquidity_score': 0.5212765957446809}",0.020943716445111633,1031.2184,2.0,2062.4368,2.0624,1.0
16,CVS,Health Care,USD,"{'total_score': 0.527686170212766, 'momentum_score': 0.1930851063829787, 'fey_score': 0.9468085106382979, 'trend_score': 0.6702127659574468, 'risk_score': 0.3475177304964539, 'liquidity_score': 0.7446808510638299}",0.01607356960001729,61.8505,355.0,21956.9275,21.9569,1.0
17,D,Utilities,USD,"{'total_score': 0.6426329787234042, 'momentum_score': 0.7441489361702127, 'fey_score': 0.6595744680851063, 'trend_score': 0.574468085106383, 'risk_score': 0.5354609929078014, 'liquidity_score': 0.44148936170212766}",0.022549818218662882,51.9248,62.0,3219.3376,3.2193,1.0
18,DGX,,USD,,0.0,171.0722,-160.0,-27371.552,27.3716,1.0
19,DTE,Utilities,USD,"{'total_score': 0.6495744680851064, 'momentum_score': 0.7510638297872341, 'fey_score': 0.6063829787234043, 'trend_score': 0.6914893617021277, 'risk_score': 0.6347517730496454, 'liquidity_score': 0.031914893617021274}",0.02279339321163027,126.6376,10.0,1266.376,1.2664,1.0
20,DUK,Utilities,USD,"{'total_score': 0.6732712765957447, 'momentum_score': 0.8058510638297871, 'fey_score': 0.574468085106383, 'trend_score': 0.648936170212766, 'risk_score': 0.6276595744680851, 'liquidity_score': 0.473404255319149}",0.023624907842794803,112.4289,51.0,5733.8739,5.7339,1.0
21,DVA,Health Care,USD,"{'total_score': 0.6170744680851064, 'momentum_score': 0.6361702127659574, 'fey_score': 0.8723404255319149, 'trend_score': 0.6170212765957447, 'risk_score': 0.32269503546099293, 'liquidity_score': 0.09042553191489361}",0.018796379308482488,141.61,181.0,25631.41,25.6314,1.0
22,ES,Utilities,USD,"{'total_score': 0.5290425531914894, 'momentum_score': 0.37553191489361704, 'fey_score': 0.8404255319148937, 'trend_score': 0.43617021276595747, 'risk_score': 0.5780141843971631, 'liquidity_score': 0.2712765957446808}",0.018563960766694622,57.0929,10.0,570.929,0.5709,1.0
23,ETR,Utilities,USD,"{'total_score': 0.7251329787234042, 'momentum_score': 0.9228723404255319, 'fey_score': 0.43617021276595747, 'trend_score': 0.9893617021276596, 'risk_score': 0.5, 'liquidity_score': 0.4042553191489362}",0.025444721008643107,82.8092,32.0,2649.8944,2.6499,1.0
24,EXC,Utilities,USD,"{'total_score': 0.7195744680851063, 'momentum_score': 0.7595744680851064, 'fey_score': 0.648936170212766, 'trend_score': 0.8404255319148937, 'risk_score': 0.6170212765957447, 'liquidity_score': 0.6170212765957447}",0.025249674366765007,42.1788,101.0,4260.0588,4.2601,1.0
25,FE,Utilities,USD,"{'total_score': 0.5639893617021277, 'momentum_score': 0.5148936170212766, 'fey_score': 0.8297872340425532, 'trend_score': 0.44680851063829785, 'risk_score': 0.41489361702127664, 'liquidity_score': 0.4946808510638298}",0.019790234869220092,37.7427,30.0,1132.281,1.1323,1.0
26,GILD,Health Care,USD,"{'total_score': 0.8039361702127659, 'momentum_score': 0.8691489361702127, 'fey_score': 0.7446808510638298, 'trend_score': 0.9787234042553191, 'risk_score': 0.5354609929078015, 'liquidity_score': 0.75}",0.0244882748787522,110.9892,-37.0,-4106.6004,4.1066,1.0
27,GIS,,USD,,0.0,57.2596,-411.0,-23533.6956,23.5337,1.0
28,HLN.L,Health Care,GBp,"{'total_score': 0.4929787234042553, 'momentum_score': 0.5840425531914893, 'fey_score': 0.09574468085106383, 'trend_score': 0.6276595744680851, 'risk_score': 0.6063829787234042, 'liquidity_score': 0.9627659574468085}",0.015016364402294258,414.7693,-1214.0,-6395.6552,6.3957,78.73
29,IMB.L,Consumer Staples,GBp,"{'total_score': 0.7007446808510638, 'momentum_score': 0.9968085106382978, 'fey_score': 0.09574468085106383, 'trend_score': 0.9361702127659575, 'risk_score': 0.7304964539007092, 'liquidity_score': 0.6223404255319149}",0.02458894220193393,2822.5437,113.0,4051.1551,4.0512,78.73
30,ISRG,Health Care,USD,"{'total_score': 0.595159574468085, 'momentum_score': 0.8053191489361702, 'fey_score': 0.19148936170212766, 'trend_score': 0.925531914893617, 'risk_score': 0.41134751773049644, 'liquidity_score': 0.3723404255319149}",0.01812884131390488,557.96,0.0,0.0,0.0,1.0
31,JNJ,Health Care,USD,"{'total_score': 0.5391223404255319, 'momentum_score': 0.37393617021276593, 'fey_score': 0.6808510638297872, 'trend_score': 0.5638297872340425, 'risk_score': 0.5638297872340425, 'liquidity_score': 0.8138297872340425}",0.016421920737964335,160.936,139.0,22370.104,22.3701,1.0
32,KMB,Consumer Staples,USD,"{'total_score': 0.5758776595744681, 'momentum_score': 0.653723404255319, 'fey_score': 0.5638297872340425, 'trend_score': 0.4574468085106383, 'risk_score': 0.673758865248227, 'liquidity_score': 0.2712765957446808}",0.020207392041083783,133.9345,2.0,267.869,0.2679,1.0
33,KO,Consumer Staples,USD,"{'total_score': 0.5434574468085106, 'momentum_score': 0.5595744680851064, 'fey_score': 0.3829787234042553, 'trend_score': 0.6382978723404256, 'risk_score': 0.5425531914893618, 'liquidity_score': 0.8563829787234043}",0.019069775503048354,67.7129,51.0,3453.3579,3.4534,1.0
34,KR,Consumer Staples,USD,"{'total_score': 0.6850531914893616, 'momentum_score': 0.5978723404255318, 'fey_score': 0.7978723404255319, 'trend_score': 0.8723404255319149, 'risk_score': 0.49290780141843965, 'liquidity_score': 0.5585106382978724}",0.0240383320645747,61.915,59.0,3652.985,3.653,1.0
35,MDT,Health Care,USD,"{'total_score': 0.621090425531915, 'momentum_score': 0.6696808510638298, 'fey_score': 0.6382978723404256, 'trend_score': 0.6595744680851063, 'risk_score': 0.41134751773049644, 'liquidity_score': 0.6702127659574468}",0.018918707266226686,89.455,39.0,3488.745,3.4887,1.0
36,MO,Consumer Staples,USD,"{'total_score': 0.7766489361702128, 'momentum_score': 0.7851063829787234, 'fey_score': 0.925531914893617, 'trend_score': 0.7659574468085106, 'risk_score': 0.5744680851063829, 'liquidity_score': 0.6223404255319149}",0.027252402086719096,51.669,5.0,258.345,0.2583,1.0
37,NEE,,USD,,0.0,68.8038,-315.0,-21673.197,21.6732,1.0
38,NI,Utilities,USD,"{'total_score': 0.7357446808510638, 'momentum_score': 0.9585106382978723, 'fey_score': 0.44680851063829785, 'trend_score': 0.9042553191489362, 'risk_score': 0.6134751773049646, 'liquidity_score': 0.3138297872340426}",0.025817082779501302,38.7031,92.0,3560.6852,3.5607,1.0
39,NRG,Utilities,USD,"{'total_score': 0.7161170212765957, 'momentum_score': 0.6957446808510638, 'fey_score': 0.8617021276595744, 'trend_score': 0.9468085106382979, 'risk_score': 0.3333333333333333, 'liquidity_score': 0.35638297872340424}",0.02512835348904179,99.0206,50.0,4951.03,4.951,1.0
40,PEG,Utilities,USD,"{'total_score': 0.5379521276595743, 'momentum_score': 0.6069148936170212, 'fey_score': 0.5319148936170213, 'trend_score': 0.5106382978723404, 'risk_score': 0.5070921985815603, 'liquidity_score': 0.2872340425531915}",0.018876595336212144,78.2375,13.0,1017.0875,1.0171,1.0
41,PFE,Health Care,USD,"{'total_score': 0.5959042553191489, 'momentum_score': 0.4351063829787234, 'fey_score': 0.9893617021276596, 'trend_score': 0.26595744680851063, 'risk_score': 0.6702127659574469, 'liquidity_score': 0.851063829787234}",0.018151524643817717,24.0074,-43.0,-1032.3182,1.0323,1.0
42,PG,Consumer Staples,USD,"{'total_score': 0.5160372340425532, 'momentum_score': 0.5952127659574469, 'fey_score': 0.35106382978723405, 'trend_score': 0.46808510638297873, 'risk_score': 0.5851063829787234, 'liquidity_score': 0.7712765957446809}",0.01810760761895112,168.5544,4.0,674.2176,0.6742,1.0
43,PM,Consumer Staples,USD,"{'total_score': 0.729468085106383, 'momentum_score': 0.9063829787234041, 'fey_score': 0.46808510638297873, 'trend_score': 1.0, 'risk_score': 0.39361702127659576, 'liquidity_score': 0.723404255319149}",0.02559683872455761,147.3808,0.0,0.0,0.0,1.0
44,PPL,Utilities,USD,"{'total_score': 0.7047074468085106, 'momentum_score': 0.8622340425531915, 'fey_score': 0.5531914893617021, 'trend_score': 0.7872340425531915, 'risk_score': 0.6063829787234042, 'liquidity_score': 0.32446808510638303}",0.02472799459255516,33.3795,137.0,4572.9915,4.573,1.0
45,SAN.PA,Health Care,EUR,"{'total_score': 0.5781117021276595, 'momentum_score': 0.8409574468085106, 'fey_score': 0.09574468085106383, 'trend_score': 0.7446808510638298, 'risk_score': 0.6914893617021276, 'liquidity_score': 0.14361702127659576}",0.017609555082686138,104.689,219.0,24039.9402,24.0399,0.9537
46,SO,Utilities,USD,"{'total_score': 0.6305053191489361, 'momentum_score': 0.8037234042553191, 'fey_score': 0.4787234042553192, 'trend_score': 0.5957446808510638, 'risk_score': 0.5531914893617021, 'liquidity_score': 0.5478723404255319}",0.022124261909110664,87.0337,39.0,3394.3143,3.3943,1.0
47,SRE,Utilities,USD,"{'total_score': 0.5221276595744682, 'momentum_score': 0.4340425531914893, 'fey_score': 0.8085106382978723, 'trend_score': 0.3723404255319149, 'risk_score': 0.4219858156028369, 'liquidity_score': 0.6063829787234043}",0.01832131901124818,67.9177,54.0,3667.5558,3.6676,1.0
48,SYK,,USD,,0.0,385.3044,-53.0,-20421.1332,20.4211,1.0
49,TSCO.L,Consumer Staples,GBp,"{'total_score': 0.6388563829787233, 'momentum_score': 0.8845744680851063, 'fey_score': 0.09574468085106383, 'trend_score': 0.7978723404255319, 'risk_score': 0.6631205673758865, 'liquidity_score': 0.925531914893617}",0.022417298490688284,388.5585,476.0,2349.2169,2.3492,78.73
50,TSN,,USD,,0.0,58.4324,-367.0,-21444.6908,21.4447,1.0
51,ULVR.L,,GBp,,0.0,4935.9849,-353.0,-22131.3689,22.1314,78.73
52,WEC,Utilities,USD,"{'total_score': 0.6886170212765957, 'momentum_score': 0.7904255319148935, 'fey_score': 0.5, 'trend_score': 0.8617021276595744, 'risk_score': 0.6843971631205674, 'liquidity_score': 0.23936170212765956}",0.024163385892381713,102.0516,45.0,4592.322,4.5923,1.0
53,WMT,Consumer Staples,USD,"{'total_score': 0.6840159574468085, 'momentum_score': 0.9079787234042553, 'fey_score': 0.2127659574468085, 'trend_score': 0.9680851063829787, 'risk_score': 0.4964539007092199, 'liquidity_score': 0.898936170212766}",0.024001935801257736,93.8769,46.0,4318.3374,4.3183,1.0
54,XEL,Utilities,USD,"{'total_score': 0.6534308510638298, 'momentum_score': 0.6792553191489361, 'fey_score': 0.6170212765957447, 'trend_score': 0.7553191489361702, 'risk_score': 0.624113475177305, 'liquidity_score': 0.3351063829787234}",0.022928712652167713,67.3193,42.0,2827.4106,2.8274,1.0
