sector,holdings_count,total_weight
Consumer Discretionary,5,0.16666666666666666
Health Care,4,0.13333333333333333
Industrials,4,0.13333333333333333
Financials,3,0.1
Utilities,3,0.1
Consumer Staples,2,0.06666666666666667
Energy,2,0.06666666666666667
Information Technology,2,0.06666666666666667
Materials,2,0.06666666666666667
Real Estate,2,0.06666666666666667
Communication Services,1,0.03333333333333333
