window_key,window_label,market_context,versus_series,n_periods,strategy_ann_return,strategy_ann_volatility,strategy_sharpe,strategy_max_drawdown,versus_ann_return,excess_ann_return
reopening_2021,2021 Reopening,Post-COVID reopening and policy normalization,SPY,7,0.14946848278834168,0.11753374101315903,1.2717070136617812,-0.04595410999999994,0.14869055609875081,0.0007779266895908687
reopening_2021,2021 Reopening,Post-COVID reopening and policy normalization,static_baseline,7,0.14946848278834168,0.11753374101315903,1.2717070136617812,-0.04595410999999994,0.08647318396939108,0.0629952988189506
reopening_2021,2021 Reopening,Post-COVID reopening and policy normalization,universe_ew,7,0.14946848278834168,0.11753374101315903,1.2717070136617812,-0.04595410999999994,0.09899601455243978,0.0504724682359019
bear_2022,2022 Bear,Rates and growth drawdown,SPY,12,0.014927093435283645,0.19798153293110532,0.07539639285689366,-0.17130801360179226,-0.08203227456114848,0.09695936799643212
bear_2022,2022 Bear,Rates and growth drawdown,static_baseline,12,0.014927093435283645,0.19798153293110532,0.07539639285689366,-0.17130801360179226,0.010027545393087811,0.004899548042195834
bear_2022,2022 Bear,Rates and growth drawdown,universe_ew,12,0.014927093435283645,0.19798153293110532,0.07539639285689366,-0.17130801360179226,-0.014888081037069179,0.029815174472352823
recovery_2023,2023 Recovery,Post-drawdown recovery,SPY,12,0.05429346356273412,0.18402815420135324,0.29502802871852574,-0.0948888925981829,0.14469853227940788,-0.09040506871667375
recovery_2023,2023 Recovery,Post-drawdown recovery,static_baseline,12,0.05429346356273412,0.18402815420135324,0.29502802871852574,-0.0948888925981829,-0.022637149375412058,0.07693061293814618
recovery_2023,2023 Recovery,Post-drawdown recovery,universe_ew,12,0.05429346356273412,0.18402815420135324,0.29502802871852574,-0.0948888925981829,0.060935463919153054,-0.006642000356418931
bull_2024,2024 Bull,AI-led bull market,SPY,12,0.3607451800098995,0.1361532432910209,2.649552601834275,-0.04966130000000002,0.3325910485697203,0.028154131440179198
bull_2024,2024 Bull,AI-led bull market,static_baseline,12,0.3607451800098995,0.1361532432910209,2.649552601834275,-0.04966130000000002,0.30432763835328025,0.056417541656619274
bull_2024,2024 Bull,AI-led bull market,universe_ew,12,0.3607451800098995,0.1361532432910209,2.649552601834275,-0.04966130000000002,0.2750325138530958,0.08571266615680373
recent_2025_2026,2025-2026 Recent,Recent formal-run holding periods,SPY,16,0.07592142958230585,0.14325876591795392,0.529960097700318,-0.07653122154269176,0.07772427408026461,-0.0018028444979587555
recent_2025_2026,2025-2026 Recent,Recent formal-run holding periods,static_baseline,16,0.07592142958230585,0.14325876591795392,0.529960097700318,-0.07653122154269176,0.04580709417273843,0.030114335409567428
recent_2025_2026,2025-2026 Recent,Recent formal-run holding periods,universe_ew,16,0.07592142958230585,0.14325876591795392,0.529960097700318,-0.07653122154269176,0.07617518219097485,-0.00025375260866900007
