,v0,v1,net_flow,pnl,return_pct
Utilities,323725.7792,503347.835,32092.14750000003,147529.9083,0.41462190977349656
Consumer Staples,360926.5838,450214.223,-46102.15470000001,135389.7939,0.37511726754664165
Health Care,291798.3309,396831.15510000003,21993.23039999998,83039.59380000006,0.26463297309837525
