,1-month,3-months,6-months,1-year,2-years,3-years,Total
Portfolio Return,-0.051001,0.066465,0.074433,0.145634,0.304818,0.420415,0.591491
Portfolio Volatility,0.130383,0.111331,0.09828,0.115796,0.10765,0.100622,0.11245
Benchmark Return,-0.09074,-0.058118,-0.02006,0.157828,0.226898,0.501617,0.412068
Benchmark Volatility,0.155467,0.125632,0.114879,0.138232,0.127449,0.119015,0.136925
Alpha,0.039739000000000003,0.124583,0.094493,-0.012193999999999983,0.07791999999999999,-0.081202,0.179423
