,1-month,3-months,6-months,1-year,2-years,3-years,Total
Portfolio Return,-0.06754,0.042091,0.052332,0.111455,0.243831,0.310887,0.427867
Portfolio Volatility,0.118455,0.104144,0.092096,0.110621,0.10228,0.096542,0.107437
Benchmark Return,-0.09074,-0.058118,-0.02006,0.157828,0.226898,0.501617,0.412068
Benchmark Volatility,0.155467,0.125632,0.114879,0.138232,0.127449,0.119015,0.136925
Alpha,0.0232,0.100209,0.072392,-0.046373,0.016933000000000004,-0.19072999999999996,0.015799000000000007
Sharpe Ratio,-0.5701743278038074,0.4041615455523122,0.5682331480194579,1.0075392556567018,2.383955807587016,3.2202253941289802,3.9824920651172313
