,v0,v1,net_flow,pnl,return_pct
Utilities,285932.4334,571267.6194,77832.93309999997,207502.25290000002,0.5704288313549499
Consumer Staples,397961.0139,423122.7223,-105505.12809999999,130666.83649999999,0.3283407970531356
Health Care,290545.4596,412288.9865,35114.0044,86629.52249999999,0.26601260542515665
