,1-month,3-months,6-months,1-year,2-years,3-years,Total
Portfolio Return,-0.062659,0.041456,0.051788,0.080952,0.19495,0.272083,0.428828
Portfolio Volatility,0.118648,0.105413,0.094369,0.113446,0.105466,0.099803,0.110943
Benchmark Return,-0.09074,-0.058118,-0.02006,0.157828,0.226898,0.501617,0.412068
Benchmark Volatility,0.155467,0.125632,0.114879,0.138232,0.127449,0.119015,0.136925
Alpha,0.028080999999999995,0.099574,0.071848,-0.076876,-0.031947999999999976,-0.22953399999999996,0.016759999999999997
Sharpe Ratio,-0.5281083541231205,0.3932721770559608,0.5487819093134398,0.7135729774518272,1.848463011776307,2.7262006152119675,3.865300199201392
