,v0,v1,net_flow,pnl,return_pct
Utilities,289672.1162,561118.3355,23688.99890000002,247757.22040000005,0.7906444305348339
Health Care,292139.2207,416763.921,31968.898300000026,92655.80199999994,0.28587929943217477
Consumer Staples,396419.9962,432208.3359,-49154.76739999996,84943.10709999996,0.2142755358313077
